,TARGET
179491,0
261005,0
165031,0
288742,0
162776,0
103533,0
95640,0
284845,0
71512,0
147406,0
23217,0
147122,0
117893,0
220626,0
133198,0
206165,0
203299,0
208338,0
153972,0
225540,0
59134,0
82821,0
208240,0
50914,0
197282,0
296404,0
279539,0
152750,0
64565,0
95426,1
130440,1
110187,0
107496,0
65682,0
71522,0
29861,0
83685,0
279373,0
22403,1
41033,0
254708,0
289152,0
209616,0
214049,0
18846,0
105379,0
280632,1
3197,0
20769,0
279779,0
292383,0
23818,0
295641,0
126881,1
163853,0
131363,0
110846,0
205355,0
291281,0
288675,0
297286,0
126180,0
142005,0
31617,0
241103,0
163127,0
149204,1
55201,0
39091,0
142613,0
107538,0
131100,0
32911,0
165854,0
185411,0
263734,0
304063,0
12899,0
46756,0
304890,0
253621,1
307342,0
243952,0
117491,0
105634,0
85308,0
252257,0
194197,0
122874,0
64657,1
233693,0
150074,1
211738,0
165320,0
162266,0
256605,0
296597,0
77133,0
288646,0
158422,0
268602,0
93623,0
239197,0
61382,0
14693,1
32248,0
17963,0
95659,0
288507,0
5023,0
271196,0
27725,0
189351,0
10209,0
252120,0
144019,0
73660,0
53412,0
286987,0
25968,0
77490,0
22586,0
266239,0
171072,0
267483,0
119380,0
294406,0
51569,0
123958,0
240193,0
274740,0
15978,0
55015,0
212835,0
280031,0
159056,1
174920,0
88796,0
236955,0
107961,0
296881,0
15529,0
221708,0
221085,0
257427,0
114339,0
217998,0
190393,0
166157,0
289344,0
91428,0
158091,0
162549,1
99900,0
43431,0
9963,0
233447,0
53564,0
138488,0
11036,0
249067,0
153633,0
229342,0
126906,0
246554,0
146594,0
284099,0
204096,0
279471,0
134546,0
223127,0
4106,0
279586,0
292671,0
92088,0
45384,0
8249,0
253832,0
81211,0
7681,0
168294,0
86013,0
299346,0
262206,0
26037,0
133409,0
59776,0
241462,0
95763,0
191882,1
112971,0
262984,0
253128,0
280986,1
249282,0
187178,0
179532,0
156840,0
232116,0
153619,0
294240,0
216005,0
196132,0
225953,0
36293,0
2072,0
27358,0
215376,0
127402,0
174014,0
77089,0
222979,0
205790,0
69855,0
235297,0
235764,0
163489,0
98330,0
220666,0
68666,0
219973,0
167947,0
252677,0
28837,0
38760,0
106257,0
118954,0
186731,0
12213,0
96012,0
99668,0
111810,0
284410,1
259959,1
106311,0
75130,0
88563,0
273586,1
234486,0
225892,0
121737,0
107719,1
104685,0
219502,0
193516,1
249136,0
38327,0
276513,0
78819,0
49125,0
217740,0
54488,0
275222,0
224234,0
202250,0
78083,0
272314,0
242095,0
76434,0
70914,0
98082,0
176435,0
8999,0
182877,0
69974,0
149513,0
53047,0
203101,0
240799,0
187285,0
201833,0
87946,1
266641,0
159261,0
122353,0
238116,0
59511,0
142805,0
90703,0
12833,0
79532,1
34845,0
200660,0
162036,0
287764,0
101575,0
81558,0
54704,0
303689,0
8422,0
180869,0
146281,0
147548,0
157212,0
256396,0
227795,0
126365,0
282039,0
118466,0
157599,0
185965,0
68621,0
202364,1
155029,0
109831,0
282852,0
177864,0
204651,0
280462,0
223361,0
11912,0
276959,1
63290,1
171132,0
235005,0
291050,0
239527,0
80674,0
148216,0
18075,1
84294,0
237932,0
128330,0
267082,0
247496,0
90676,0
83095,0
108157,0
201404,0
22930,0
249589,1
53244,0
111761,0
211507,0
80467,0
173996,0
140444,0
179251,0
237558,0
214470,0
210868,0
123736,0
204986,0
48392,0
79292,0
140699,0
254437,0
77830,0
145384,0
33543,0
297696,0
171413,0
267673,0
99996,0
107414,0
62206,1
74589,0
301558,0
278900,0
39700,0
101068,0
94566,0
184732,0
152222,0
245452,0
156152,0
65442,0
111465,0
211894,0
22020,0
179546,1
15423,0
56465,0
107670,0
219464,0
9280,0
273567,0
148315,0
75251,0
252108,0
161138,0
63461,0
145675,0
198532,0
262719,0
246260,1
75315,0
99878,0
26263,0
154650,0
191366,0
62494,0
100826,0
16547,0
81104,0
227298,0
115680,0
95338,0
128646,0
278534,0
122144,0
163759,1
84489,0
134335,0
301772,0
297517,0
122818,0
249271,0
258546,0
289504,0
260590,0
285868,0
24293,0
234031,0
23830,0
283736,0
91062,0
24201,0
299033,0
51777,0
32417,0
194876,0
171391,0
37001,0
172472,0
106614,0
222357,0
188110,0
253422,0
230457,0
204588,0
250658,0
153354,0
215195,0
284680,0
171270,0
261838,0
94751,0
91560,0
148657,0
297827,1
9875,0
307040,0
171464,0
93361,0
98685,0
36872,0
297483,1
12425,0
199464,0
101273,0
215984,0
301462,1
211591,0
13219,0
223739,0
107690,0
303221,1
180829,0
59204,0
139157,0
230696,0
170285,0
100766,1
75163,0
34617,0
146647,0
49009,0
43683,0
23311,0
237691,0
170061,0
270556,0
271811,0
150676,1
142938,0
117860,0
203194,0
1357,0
221306,0
92530,0
102458,0
105714,0
194889,0
112519,0
184407,0
235112,0
151469,0
238502,0
40042,0
299051,0
205152,0
54934,0
159590,0
93451,0
89840,0
92667,0
20382,0
253985,0
29943,0
117254,0
170420,0
224888,0
112609,1
202559,0
32766,0
304121,0
52773,0
305159,0
234430,0
38658,0
87735,0
242180,0
202348,0
96835,0
21877,1
269323,1
107710,0
287625,0
239900,0
249692,0
107800,0
101931,1
97153,0
38956,0
110769,0
27787,0
227086,0
206287,0
150226,0
193109,0
230129,0
217268,0
55301,0
91516,0
281047,0
64084,0
298006,0
118045,0
303547,1
114516,0
256090,0
189909,0
155807,0
38421,0
286901,0
142315,1
267686,0
254814,0
22152,0
82947,0
270100,0
286963,0
192905,0
267968,0
276026,0
127425,0
285200,0
122228,0
266500,0
130504,0
88402,0
82007,1
276670,0
6845,0
63905,0
74068,0
209946,0
59367,0
116162,0
206454,0
298926,0
221295,0
85695,0
175867,0
32359,0
134467,0
34030,0
108753,0
125963,0
41077,0
75739,1
124448,0
299650,0
119347,0
112848,0
2049,0
178149,0
121592,0
230115,0
216900,0
50742,0
217030,0
236747,0
60652,0
298938,0
10539,1
202047,0
60148,0
229680,0
279191,0
179761,0
231742,0
293809,1
205318,0
46781,0
106118,0
211069,0
301143,0
53311,0
299518,0
8724,0
197728,0
272160,0
240715,0
15463,0
53076,0
54475,0
141496,1
176137,0
57357,0
40065,0
168441,0
274140,0
164417,0
174310,0
302533,0
171800,0
43411,1
60212,0
291279,0
132235,0
195285,0
113524,0
106946,0
193295,0
154817,0
41371,0
55586,1
200980,0
132811,0
250541,0
80048,0
268951,0
305362,0
243119,0
34253,0
53295,0
224530,0
68777,0
248265,0
181670,0
149538,0
90328,0
187525,0
88268,0
101482,0
57754,0
287021,0
61143,0
117769,0
153283,0
243644,0
61323,0
73716,0
190493,0
76816,0
124423,0
166758,0
24217,0
164451,0
11884,0
52588,0
167640,0
34906,0
234008,0
196029,0
47393,0
232495,0
29171,0
97502,0
231143,0
146163,0
155758,0
56561,1
239374,1
122056,0
285135,0
151693,0
106413,0
96959,0
163304,0
289545,0
12550,0
223115,0
120064,0
210323,0
89307,0
157879,0
122466,0
167262,0
224703,0
218279,1
24000,0
138385,0
67828,0
106845,0
140467,0
285557,0
23651,0
303344,0
259,0
32468,0
256604,0
133670,0
209938,0
213396,0
252901,0
245911,0
5677,0
247263,0
279465,0
90161,1
30580,0
86221,0
24951,0
212467,0
36075,0
37309,0
165797,0
263984,0
50196,1
201251,0
288291,1
278,0
61265,0
129181,0
256237,0
223383,0
48882,0
19630,0
268795,0
70007,0
14861,0
286776,0
68590,0
179549,1
298840,0
24391,0
94620,0
10490,1
78976,0
158466,1
150523,0
303139,1
231972,1
108759,1
75521,0
284791,0
235820,0
92199,0
174559,0
250271,0
254018,0
2669,0
75378,0
288281,0
24547,0
214294,1
195522,0
139024,1
494,0
127708,0
299314,0
30299,0
68224,0
59013,0
95631,0
30101,1
75553,0
173815,0
264433,0
226623,1
239565,0
16138,0
251114,0
61428,1
249298,0
263050,0
29372,0
199171,1
88818,0
53007,0
70685,0
186702,0
61499,0
255653,1
140660,0
278663,0
264413,0
209912,0
60161,0
251335,0
283258,0
141816,0
163730,0
161370,0
103970,1
77732,0
80612,0
64474,0
258799,0
295376,0
25791,0
237382,0
236793,0
87810,0
157695,0
200449,0
240002,0
40687,0
91382,0
171122,0
282112,0
210137,1
182657,0
85955,0
145921,0
37707,0
119727,1
303724,0
101588,0
246329,0
213935,0
22411,0
165080,0
38390,0
17324,1
144373,0
48780,0
242165,0
227925,0
277540,0
138953,0
83211,0
3386,0
304754,0
134442,0
303651,0
59444,1
212814,0
246229,0
177623,0
128207,0
233560,0
122397,0
42209,0
212810,0
112320,0
157,0
276395,0
262639,0
115805,0
296847,0
165420,0
146185,0
104251,0
124424,0
270963,0
257331,0
43375,0
226251,0
210079,0
278373,0
136049,0
76393,0
84743,0
133161,0
77514,0
286273,1
168654,0
211587,0
174969,0
121142,0
169,0
300121,1
287683,1
122971,0
80336,0
250291,0
77046,0
70655,0
301291,0
133332,0
176175,0
82711,0
219142,0
161374,0
10969,0
240566,0
36046,0
284051,0
27112,0
91842,0
270529,0
152980,0
238468,0
142684,0
236987,0
24795,1
291074,0
163627,0
28601,0
111274,0
249506,0
16186,0
89457,0
276859,0
170991,0
251484,0
127010,0
60424,0
205327,0
107508,0
210669,0
220041,0
56139,0
17029,0
56788,0
272484,0
160815,0
37014,0
278265,0
154578,0
272863,1
26918,0
306916,0
107751,0
154063,0
48395,0
26134,0
228497,0
31457,0
90973,0
124365,0
69116,0
79128,0
